Max Age (y)	Other	Calcium, Ca	Chromium, Cr	Copper, Cu	Fluoride, F	Iodine, I	Iron, Fe	Magnesium, Mg	Manganese, Mn	Molybdenum, Mo	Phosphorus, P	Selenium, Se	Zinc, Zn	Vitamin A, RAE	Vitamin C, total ascorbic acid	Vitamin D (D2 + D3)	Vitamin E (alpha-tocopherol)	Vitamin K (phylloquinone)	Thiamin	Riboflavin	Niacin	Vitamin B-6	Folate	Vitamin B-12	Pantothenic acid	Biotin	Choline	Fiber, total dietary
0.5	either	210	0.0002	0.2	0.01	0.11	0.27	30	0.003	0.002	100	0.015	2	0.4	40	0.005	4	0.002	0.2	0.3	2	0.1	0.065	0.0004	1.7	0.005	125	0
1	either	270	0.0055	0.22	0.5	0.13	11	75	0.6	0.003	275	0.02	3	0.5	50	0.005	5	0.0025	0.3	0.4	4	0.3	0.08	0.0005	1.8	0.006	150	0
3	either	500	0.011	0.34	0.7	0.09	7	80	1.2	0.017	460	0.02	3	0.3	15	0.005	6	0.03	0.5	0.5	6	0.5	0.15	0.0009	2	0.008	200	19000
8	either	800	0.015	0.44	1	0.09	10	130	1.5	0.022	500	0.03	5	0.4	25	0.005	7	0.055	0.6	0.6	8	0.6	0.2	0.0012	3	0.012	250	25000
13	male	1300	0.025	0.7	2	0.12	8	240	1.9	0.034	1250	0.04	8	0.6	45	0.005	11	0.06	0.9	0.9	12	1	0.3	0.0018	4	0.02	375	31000
18	male	1300	0.035	0.89	3	0.15	11	410	2.2	0.043	1250	0.055	11	0.9	75	0.005	15	0.075	1.2	1.3	16	1.3	0.4	0.0024	5	0.025	550	38000
30	male	1000	0.035	0.9	4	0.15	8	400	2.3	0.045	700	0.055	11	0.9	90	0.005	15	0.12	1.2	1.3	16	1.3	0.4	0.0024	5	0.03	550	38000
50	male	1000	0.035	0.9	4	0.15	8	420	2.3	0.045	700	0.055	11	0.9	90	0.005	15	0.12	1.2	1.3	16	1.3	0.4	0.0024	5	0.03	550	38000
70	male	1200	0.03	0.9	4	0.15	8	420	2.3	0.045	700	0.055	11	0.9	90	0.01	15	0.12	1.2	1.3	16	1.7	0.4	0.0024	5	0.03	550	30000
200	male	1200	0.03	0.9	4	0.15	8	420	2.3	0.045	700	0.055	11	0.9	90	0.015	15	0.12	1.2	1.3	16	1.7	0.4	0.0024	5	0.03	550	30000
13	female	1300	0.021	0.7	2	0.12	8	240	1.6	0.034	1250	0.04	8	0.6	45	0.005	11	0.06	0.9	0.9	12	1	0.3	0.0018	4	0.02	375	26000
18	female	1300	0.024	0.89	3	0.15	15	360	1.6	0.043	1250	0.055	9	0.7	65	0.005	15	0.075	1	1	14	1.2	0.4	0.0024	5	0.025	400	26000
30	female	1000	0.025	0.9	3	0.15	18	310	1.8	0.045	700	0.055	8	0.7	75	0.005	15	0.09	1.1	1.1	14	1.3	0.4	0.0024	5	0.03	425	25000
50	female	1000	0.025	0.9	3	0.15	18	320	1.8	0.045	700	0.055	8	0.7	75	0.005	15	0.09	1.1	1.1	14	1.3	0.4	0.0024	5	0.03	425	25000
70	female	1200	0.02	0.9	3	0.15	8	320	1.8	0.045	700	0.055	8	0.7	75	0.01	15	0.09	1.1	1.1	14	1.5	0.4	0.0024	5	0.03	425	21000
200	female	1200	0.02	0.9	3	0.15	8	320	1.8	0.045	700	0.055	8	0.7	75	0.015	15	0.09	1.1	1.1	14	1.5	0.4	0.0024	5	0.03	425	21000
18	pregnant	1300	0.029	1	3	0.22	27	400	2	0.05	1250	0.06	12	0.75	80	0.005	15	0.075	1.4	1.4	18	1.9	0.6	0.0026	6	0.03	450	28000
30	pregnant	1000	0.03	1	3	0.22	27	350	2	0.05	700	0.06	11	0.77	85	0.005	15	0.09	1.4	1.4	18	1.9	0.6	0.0026	6	0.03	450	28000
50	pregnant	1000	0.03	1	3	0.22	27	360	2	0.05	700	0.06	11	0.77	85	0.005	15	0.09	1.4	1.4	18	1.9	0.6	0.0026	6	0.03	450	28000
18	lactating	1300	0.044	1.3	3	0.29	10	360	2.6	0.05	1250	0.07	13	1.2	115	0.005	19	0.075	1.4	1.6	17	2	0.5	0.0028	7	0.035	550	29000
30	lactating	1000	0.045	1.3	3	0.29	9	310	2.6	0.05	700	0.07	12	1.3	120	0.005	19	0.09	1.4	1.6	17	2	0.5	0.0028	7	0.035	550	29000
50	lactating	1000	0.045	1.3	3	0.29	9	320	2.6	0.05	700	0.07	12	1.3	120	0.005	19	0.09	1.4	1.6	17	2	0.5	0.0028	7	0.035	550	29000
